t-SNE_1,t-SNE_2
45.453537,-1.9862977
46.556347,5.8149486
41.470142,-0.95109326
10.281424,-6.7322903
5.622121,17.16268
5.131285,16.805574
58.88607,10.196063
55.846416,32.624226
57.663666,13.97014
56.182735,33.119568
56.028893,34.024876
56.18172,34.724163
55.40876,32.667126
55.403046,32.6118
56.12393,33.97674
55.744007,32.937836
32.785152,36.330196
60.2887,31.329937
50.275127,22.738607
60.81422,27.767206
59.466846,28.393969
60.937366,27.63275
60.36087,29.12237
60.926662,28.547588
50.040802,22.923126
61.528866,33.07066
55.32222,40.64728
62.980564,31.81334
15.260643,73.1308
15.175938,73.13457
15.282336,73.332275
16.615135,73.22715
17.263332,73.323326
16.231596,73.59888
17.889734,73.744736
16.4639,74.083084
17.630402,74.07878
16.903982,74.09934
17.744915,74.13409
-23.017109,61.003918
-15.1465,60.466446
-27.30059,58.00923
-16.052526,62.378532
-19.424757,64.95459
-16.021013,63.047134
-15.791749,63.39342
-23.48727,63.764225
-15.851933,63.35488
-21.891556,65.34846
-12.559414,62.202873
62.12998,-45.20923
59.6496,-51.69028
60.96662,-49.683586
90.31758,-3.655694
90.085014,-3.4845414
90.36022,-3.6756337
59.224277,-55.4495
59.05177,-55.39937
59.37221,-45.074425
56.73264,-58.231266
58.396667,-55.526196
-8.145113,-38.803883
-8.337984,-38.487892
-8.43824,-37.762325
-6.517952,-34.6073
-6.008531,-34.39352
-5.561267,-33.895386
-3.3573654,20.022139
-5.782515,-29.717276
-9.79874,12.175925
-15.476186,7.928754
-15.045303,7.952241
-60.48826,-14.515681
-59.59512,-7.7373924
-58.5275,-8.357323
-59.352646,-7.455422
-60.162613,-7.08441
-59.331955,-6.072621
-60.025665,-6.979989
-59.753525,-6.56923
-59.970184,-6.7501993
-59.355957,-5.3860908
-59.425583,-3.8120334
0.18473862,61.945103
1.1210909,62.279022
5.0689626,63.32554
0.49151093,62.12774
1.9464989,61.084595
0.7188962,61.64854
5.3791413,63.4369
1.7732974,63.42714
1.7283995,63.466568
4.522208,66.0059
1.9883991,66.37802
12.898843,-55.666985
14.040091,-46.53764
13.274162,-55.39946
12.948205,-46.39484
11.818651,-54.14019
13.832341,-46.003166
12.783245,-46.427147
12.822282,-46.325886
9.642158,-51.477116
12.278884,-44.559418
10.202004,-31.592144
3.4506364,38.617275
2.9276366,38.87253
3.5930037,38.718674
1.9657854,60.787464
6.7950587,65.081245
1.4615042,67.912315
6.842725,67.27379
3.7591212,66.38906
1.937097,66.35
1.8610317,66.43952
9.021541,68.04805
-28.390984,30.56526
-39.784897,26.61054
-38.76976,27.74396
-29.998932,31.24744
-38.27687,26.6122
-37.079605,27.51498
-37.22778,26.95787
-37.183605,25.392366
-36.912827,24.860443
9.540702,51.000416
9.869228,50.58441
-37.584095,77.95854
-40.523804,75.80433
-40.89655,75.79785
-34.924297,79.448616
-38.164032,71.87221
-36.99236,73.68639
-31.986591,77.149765
-32.757584,75.11799
-35.664448,72.51956
-35.03112,72.64932
-34.930096,72.30331
42.880764,-68.54441
54.391464,-58.489635
43.583023,-68.93571
53.485947,-57.495567
54.07812,-58.13569
46.529316,-66.42295
8.7601,-77.285385
48.13009,-70.35028
47.518616,-70.652306
7.972771,-81.473175
47.83265,-70.285934
0.57808703,-69.10963
23.47751,-73.60056
2.9231975,-69.91926
2.6435206,-69.73077
0.2682678,-68.7219
1.2608654,-69.275375
25.333996,-74.24116
25.673855,-74.80462
24.893896,-74.50221
27.412258,-57.90577
25.114985,-74.501465
35.65806,-64.101944
52.131145,-63.364983
47.65458,-59.700603
69.28997,-41.94818
8.631114,-75.76116
8.450784,-75.84344
32.21938,-73.862274
4.798074,-74.286316
5.487852,-75.130066
30.826221,-74.81193
31.183413,-74.82059
-24.552769,-46.32589
-24.588512,-46.16267
-25.223473,-45.83455
-24.568264,-46.37826
-25.406988,-45.376247
-25.537485,-45.585308
-24.68293,-46.74759
